name,position,value,predicted_points,vap,GW
Đorđe Petrović,2,45,3.7726087948739497,0.09134645992430872,25
Jordan Pickford,2,45,3.4547715102438517,0.08365064189452426,25
Lorenz Assignon,0,40,3.0998558815885255,0.0856313779444344,25
Alfie Doughty,0,46,3.410647340146663,0.08082102701769342,25
Pedro Porro,0,59,4.008916122708193,0.07262529207804697,25
James Tarkowski,0,46,3.0387721836569437,0.07200881951793706,25
William Saliba,0,56,3.738164305426568,0.07161234301583463,25
Douglas Luiz Soares de Paulo,3,56,4.748771980238077,0.09167513475363083,25
Declan Rice,3,55,4.257577189227225,0.08381057459108712,25
Cole Palmer,3,59,4.376579845916177,0.0798645957283974,25
James Ward-Prowse,3,63,4.6835950046060395,0.0796529762688102,25
Anthony Gordon,3,62,4.3750938543400855,0.07569366530000149,25
Julián Álvarez,1,72,5.943926826369324,0.08766853726208443,25
Matheus Santos Carneiro Da Cunha,1,58,4.707863116918284,0.08750674938509821,25
Dominic Solanke,1,71,5.005888729147605,0.07493845402915576,25
